country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CA,Canada,British Columbia,,,CA-BC,,2020-05-06,-41,-8,57,-55,-51,19
CA,Canada,British Columbia,,,CA-BC,,2020-05-07,-39,-4,103,-54,-50,18
CA,Canada,British Columbia,,,CA-BC,,2020-05-08,-37,-1,118,-51,-48,16
CA,Canada,British Columbia,,,CA-BC,,2020-05-09,-39,3,84,-45,-35,10
CA,Canada,British Columbia,,,CA-BC,,2020-05-10,-34,-3,104,-44,-32,6
CA,Canada,British Columbia,,,CA-BC,,2020-05-11,-40,-9,64,-54,-49,17
CA,Canada,British Columbia,,,CA-BC,,2020-05-12,-41,-7,45,-57,-48,19
CA,Canada,British Columbia,,,CA-BC,,2020-05-13,-40,-6,54,-55,-49,18
CA,Canada,British Columbia,,,CA-BC,,2020-05-14,-39,-3,80,-54,-48,18
CA,Canada,British Columbia,,,CA-BC,,2020-05-15,-36,-1,118,-50,-48,15
CA,Canada,British Columbia,,,CA-BC,,2020-05-16,-45,-10,1,-55,-37,12
CA,Canada,British Columbia,,,CA-BC,,2020-05-17,-40,-11,64,-50,-34,9
CA,Canada,British Columbia,,,CA-BC,,2020-05-18,-37,-4,185,-57,-76,20
CA,Canada,British Columbia,,,CA-BC,,2020-05-19,-32,-1,116,-51,-45,16
CA,Canada,British Columbia,,,CA-BC,,2020-05-20,-32,-1,52,-51,-46,17
CA,Canada,British Columbia,,,CA-BC,,2020-05-21,-33,0,61,-52,-45,18
CA,Canada,British Columbia,,,CA-BC,,2020-05-22,-32,-2,66,-50,-42,15
CA,Canada,British Columbia,,,CA-BC,,2020-05-23,-34,-3,58,-44,-26,9
CA,Canada,British Columbia,,,CA-BC,,2020-05-24,-33,-9,71,-44,-26,8
CA,Canada,British Columbia,,,CA-BC,,2020-05-25,-32,-4,22,-54,-45,17
CA,Canada,British Columbia,,,CA-BC,,2020-05-26,-27,0,133,-48,-41,15
CA,Canada,British Columbia,,,CA-BC,,2020-05-27,-25,4,137,-44,-42,14
CA,Canada,British Columbia,,,CA-BC,,2020-05-28,-26,4,121,-47,-41,15
CA,Canada,British Columbia,,,CA-BC,,2020-05-29,-26,3,125,-45,-40,13
CA,Canada,British Columbia,,,CA-BC,,2020-05-30,-35,-4,0,-47,-21,10
CA,Canada,British Columbia,,,CA-BC,,2020-05-31,-29,-4,50,-40,-19,7
CA,Canada,British Columbia,,,CA-BC,,2020-06-01,-23,3,100,-45,-39,13
CA,Canada,British Columbia,,,CA-BC,,2020-06-02,-27,0,51,-51,-39,15
CA,Canada,British Columbia,,,CA-BC,,2020-06-03,-25,1,103,-46,-40,14
CA,Canada,British Columbia,,,CA-BC,,2020-06-04,-25,2,92,-47,-39,14
CA,Canada,British Columbia,,,CA-BC,,2020-06-05,-23,1,114,-43,-37,12
CA,Canada,British Columbia,,,CA-BC,,2020-06-06,-26,1,71,-40,-18,8
CA,Canada,British Columbia,,,CA-BC,,2020-06-07,-23,-4,122,-35,-18,5
CA,Canada,British Columbia,,,CA-BC,,2020-06-08,-24,0,68,-47,-39,13
CA,Canada,British Columbia,,,CA-BC,,2020-06-09,-26,-3,21,-52,-38,16
CA,Canada,British Columbia,,,CA-BC,,2020-06-10,-23,2,86,-46,-39,14
CA,Canada,British Columbia,,,CA-BC,,2020-06-11,-23,2,91,-47,-38,14
CA,Canada,British Columbia,,,CA-BC,,2020-06-12,-24,0,50,-47,-37,13
CA,Canada,British Columbia,,,CA-BC,,2020-06-13,-24,1,57,-39,-15,7
CA,Canada,British Columbia,,,CA-BC,,2020-06-14,-24,-5,60,-39,-16,6
CA,Canada,British Columbia,,,CA-BC,,2020-06-15,-24,-1,16,-50,-38,14
CA,Canada,British Columbia,,,CA-BC,,2020-06-16,-17,6,147,-43,-36,13
CA,Canada,British Columbia,,,CA-BC,,2020-06-17,-19,4,144,-41,-38,12
CA,Canada,British Columbia,,,CA-BC,,2020-06-18,-18,8,154,-42,-37,11
CA,Canada,British Columbia,,,CA-BC,,2020-06-19,-18,6,121,-40,-36,8
CA,Canada,British Columbia,,,CA-BC,,2020-06-20,-23,6,31,-42,-16,7
CA,Canada,British Columbia,,,CA-BC,,2020-06-21,-15,2,129,-32,-13,2
CA,Canada,British Columbia,,,CA-BC,,2020-06-22,-19,2,114,-43,-39,11
CA,Canada,British Columbia,,,CA-BC,,2020-06-23,-18,4,109,-44,-37,12
CA,Canada,British Columbia,,,CA-BC,,2020-06-24,-15,8,120,-41,-37,12
CA,Canada,British Columbia,,,CA-BC,,2020-06-25,-15,9,168,-40,-36,11
CA,Canada,British Columbia,,,CA-BC,,2020-06-26,-18,5,103,-39,-36,9
CA,Canada,British Columbia,,,CA-BC,,2020-06-27,-20,4,79,-34,-16,5
CA,Canada,British Columbia,,,CA-BC,,2020-06-28,-15,0,157,-26,-13,2
CA,Canada,British Columbia,,,CA-BC,,2020-06-29,-12,6,154,-40,-40,10
CA,Canada,British Columbia,,,CA-BC,,2020-06-30,-8,12,115,-42,-39,11
CA,Canada,British Columbia,,,CA-BC,,2020-07-01,-21,3,90,-54,-70,19
CA,Canada,British Columbia,,,CA-BC,,2020-07-02,-16,8,93,-44,-42,13
CA,Canada,British Columbia,,,CA-BC,,2020-07-03,-16,5,58,-44,-42,11
CA,Canada,British Columbia,,,CA-BC,,2020-07-04,-18,4,134,-31,-16,4
CA,Canada,British Columbia,,,CA-BC,,2020-07-05,-11,1,189,-23,-15,0
CA,Canada,British Columbia,,,CA-BC,,2020-07-06,-13,7,130,-40,-40,10
CA,Canada,British Columbia,,,CA-BC,,2020-07-07,-13,8,119,-42,-39,11
CA,Canada,British Columbia,,,CA-BC,,2020-07-08,-13,7,136,-39,-39,10
CA,Canada,British Columbia,,,CA-BC,,2020-07-09,-15,9,99,-43,-39,12
CA,Canada,British Columbia,,,CA-BC,,2020-07-10,-13,7,160,-37,-37,8
CA,Canada,British Columbia,,,CA-BC,,2020-07-11,-20,3,55,-37,-15,5
CA,Canada,British Columbia,,,CA-BC,,2020-07-12,-12,3,156,-26,-14,2
CA,Canada,British Columbia,,,CA-BC,,2020-07-13,-12,8,155,-39,-39,9
CA,Canada,British Columbia,,,CA-BC,,2020-07-14,-11,9,207,-40,-38,10
CA,Canada,British Columbia,,,CA-BC,,2020-07-15,-11,9,183,-38,-38,9
CA,Canada,British Columbia,,,CA-BC,,2020-07-16,-13,11,136,-40,-38,10
CA,Canada,British Columbia,,,CA-BC,,2020-07-17,-13,9,152,-37,-37,8
CA,Canada,British Columbia,,,CA-BC,,2020-07-18,-16,7,158,-28,-14,2
CA,Canada,British Columbia,,,CA-BC,,2020-07-19,-10,4,181,-23,-15,0
CA,Canada,British Columbia,,,CA-BC,,2020-07-20,-10,10,172,-39,-40,8
CA,Canada,British Columbia,,,CA-BC,,2020-07-21,-10,12,203,-40,-38,10
CA,Canada,British Columbia,,,CA-BC,,2020-07-22,-11,11,160,-39,-38,9
CA,Canada,British Columbia,,,CA-BC,,2020-07-23,-13,9,136,-40,-37,10
CA,Canada,British Columbia,,,CA-BC,,2020-07-24,-15,7,133,-38,-36,8
CA,Canada,British Columbia,,,CA-BC,,2020-07-25,-16,6,156,-29,-14,2
CA,Canada,British Columbia,,,CA-BC,,2020-07-26,-12,2,190,-25,-14,0
CA,Canada,British Columbia,,,CA-BC,,2020-07-27,-11,9,168,-39,-40,9
CA,Canada,British Columbia,,,CA-BC,,2020-07-28,-11,10,192,-41,-38,10
CA,Canada,British Columbia,,,CA-BC,,2020-07-29,-10,11,184,-38,-39,9
CA,Canada,British Columbia,,,CA-BC,,2020-07-30,-10,14,188,-38,-39,9
CA,Canada,British Columbia,,,CA-BC,,2020-07-31,-12,13,165,-35,-40,7
CA,Canada,British Columbia,,,CA-BC,,2020-08-01,-17,8,161,-29,-18,2
CA,Canada,British Columbia,,,CA-BC,,2020-08-02,-11,2,191,-27,-18,0
CA,Canada,British Columbia,,,CA-BC,,2020-08-03,-12,9,231,-46,-72,14
CA,Canada,British Columbia,,,CA-BC,,2020-08-04,-10,13,206,-37,-40,9
CA,Canada,British Columbia,,,CA-BC,,2020-08-05,-10,12,190,-36,-40,9
CA,Canada,British Columbia,,,CA-BC,,2020-08-06,-14,9,93,-42,-40,11
CA,Canada,British Columbia,,,CA-BC,,2020-08-07,-15,5,93,-38,-38,9
CA,Canada,British Columbia,,,CA-BC,,2020-08-08,-17,6,116,-30,-14,4
CA,Canada,British Columbia,,,CA-BC,,2020-08-09,-12,2,184,-23,-15,0
CA,Canada,British Columbia,,,CA-BC,,2020-08-10,-12,8,157,-39,-40,8
CA,Canada,British Columbia,,,CA-BC,,2020-08-11,-11,7,174,-40,-38,10
CA,Canada,British Columbia,,,CA-BC,,2020-08-12,-13,7,158,-37,-39,9
CA,Canada,British Columbia,,,CA-BC,,2020-08-13,-13,9,169,-38,-39,9
CA,Canada,Manitoba,,,CA-MB,,2020-02-15,5,2,20,1,1,0
CA,Canada,Manitoba,,,CA-MB,,2020-02-16,10,0,26,-4,-4,-2
CA,Canada,Manitoba,,,CA-MB,,2020-02-17,-19,-24,60,-37,-69,17
CA,Canada,Manitoba,,,CA-MB,,2020-02-18,3,6,4,-5,-1,1
CA,Canada,Manitoba,,,CA-MB,,2020-02-19,0,-1,0,-9,0,1
CA,Canada,Manitoba,,,CA-MB,,2020-02-20,9,12,28,-7,2,0
CA,Canada,Manitoba,,,CA-MB,,2020-02-21,5,3,28,-2,0,0
CA,Canada,Manitoba,,,CA-MB,,2020-02-22,8,3,63,11,7,-1
CA,Canada,Manitoba,,,CA-MB,,2020-02-23,5,4,45,1,2,-1
CA,Canada,Manitoba,,,CA-MB,,2020-02-24,5,1,12,2,2,1
CA,Canada,Manitoba,,,CA-MB,,2020-02-25,1,3,10,-1,4,1
CA,Canada,Manitoba,,,CA-MB,,2020-02-26,8,5,3,4,4,0
CA,Canada,Manitoba,,,CA-MB,,2020-02-27,11,10,12,-4,6,0
CA,Canada,Manitoba,,,CA-MB,,2020-02-28,6,5,4,1,3,0
CA,Canada,Manitoba,,,CA-MB,,2020-02-29,11,7,16,8,7,0
CA,Canada,Manitoba,,,CA-MB,,2020-03-01,5,5,4,3,3,0
CA,Canada,Manitoba,,,CA-MB,,2020-03-02,1,1,0,-2,3,1
CA,Canada,Manitoba,,,CA-MB,,2020-03-03,7,7,15,2,4,0
CA,Canada,Manitoba,,,CA-MB,,2020-03-04,2,1,3,-2,3,1
CA,Canada,Manitoba,,,CA-MB,,2020-03-05,4,8,10,2,3,1
CA,Canada,Manitoba,,,CA-MB,,2020-03-06,7,2,-2,-1,2,0
CA,Canada,Manitoba,,,CA-MB,,2020-03-07,10,7,16,6,6,0
CA,Canada,Manitoba,,,CA-MB,,2020-03-08,4,2,-2,-4,2,1
CA,Canada,Manitoba,,,CA-MB,,2020-03-09,4,2,3,-5,3,1
CA,Canada,Manitoba,,,CA-MB,,2020-03-10,4,7,14,-1,4,1
CA,Canada,Manitoba,,,CA-MB,,2020-03-11,7,8,9,-3,4,0
CA,Canada,Manitoba,,,CA-MB,,2020-03-12,12,33,5,-6,5,0
CA,Canada,Manitoba,,,CA-MB,,2020-03-13,4,41,-14,-12,-5,3
CA,Canada,Manitoba,,,CA-MB,,2020-03-14,-7,23,-23,-12,1,4
CA,Canada,Manitoba,,,CA-MB,,2020-03-15,-18,3,-20,-22,-7,4
CA,Canada,Manitoba,,,CA-MB,,2020-03-16,-11,18,-19,-29,-11,7
CA,Canada,Manitoba,,,CA-MB,,2020-03-17,-19,19,-16,-31,-17,10
CA,Canada,Manitoba,,,CA-MB,,2020-03-18,-25,13,-28,-41,-23,12
CA,Canada,Manitoba,,,CA-MB,,2020-03-19,-29,12,-27,-48,-27,14
CA,Canada,Manitoba,,,CA-MB,,2020-03-20,-31,8,-31,-46,-31,15
CA,Canada,Manitoba,,,CA-MB,,2020-03-21,-45,-9,-25,-41,-24,12
CA,Canada,Manitoba,,,CA-MB,,2020-03-22,-51,-21,-16,-50,-32,10
CA,Canada,Manitoba,,,CA-MB,,2020-03-23,-41,-11,-3,-54,-40,17
CA,Canada,Manitoba,,,CA-MB,,2020-03-24,-45,-11,-32,-57,-42,19
CA,Canada,Manitoba,,,CA-MB,,2020-03-25,-45,-14,-19,-57,-43,19
CA,Canada,Manitoba,,,CA-MB,,2020-03-26,-43,-7,-18,-60,-43,20
CA,Canada,Manitoba,,,CA-MB,,2020-03-27,-40,-5,-14,-57,-44,20
CA,Canada,Manitoba,,,CA-MB,,2020-03-28,-46,-13,-9,-50,-33,13
CA,Canada,Manitoba,,,CA-MB,,2020-03-29,-49,-21,-9,-56,-36,11
CA,Canada,Manitoba,,,CA-MB,,2020-03-30,-38,-12,4,-57,-47,18
CA,Canada,Manitoba,,,CA-MB,,2020-03-31,-36,-4,2,-58,-47,19
CA,Canada,Manitoba,,,CA-MB,,2020-04-01,-46,-14,-24,-62,-49,20
CA,Canada,Manitoba,,,CA-MB,,2020-04-02,-59,-28,-55,-68,-52,24
CA,Canada,Manitoba,,,CA-MB,,2020-04-03,-55,-24,-60,-65,-54,25
CA,Canada,Manitoba,,,CA-MB,,2020-04-04,-54,-23,-52,-57,-37,16
CA,Canada,Manitoba,,,CA-MB,,2020-04-05,-54,-29,-30,-61,-40,12
CA,Canada,Manitoba,,,CA-MB,,2020-04-06,-43,-17,-16,-61,-48,20
CA,Canada,Manitoba,,,CA-MB,,2020-04-07,-44,-9,-11,-59,-49,21
CA,Canada,Manitoba,,,CA-MB,,2020-04-08,-43,-12,-36,-62,-49,21
CA,Canada,Manitoba,,,CA-MB,,2020-04-09,-27,21,-26,-59,-49,19
CA,Canada,Manitoba,,,CA-MB,,2020-04-10,-75,-63,-7,-73,-82,33
CA,Canada,Manitoba,,,CA-MB,,2020-04-11,-42,0,-42,-55,-38,15
CA,Canada,Manitoba,,,CA-MB,,2020-04-12,-74,-63,-35,-65,-47,13
CA,Canada,Manitoba,,,CA-MB,,2020-04-13,-44,-16,-38,-68,-57,23
CA,Canada,Manitoba,,,CA-MB,,2020-04-14,-43,-10,-25,-60,-48,21
CA,Canada,Manitoba,,,CA-MB,,2020-04-15,-38,-10,-19,-59,-48,20
CA,Canada,Manitoba,,,CA-MB,,2020-04-16,-39,-6,-15,-60,-47,21
CA,Canada,Manitoba,,,CA-MB,,2020-04-17,-39,-10,-2,-58,-48,21
CA,Canada,Manitoba,,,CA-MB,,2020-04-18,-48,-19,-42,-56,-33,14
CA,Canada,Manitoba,,,CA-MB,,2020-04-19,-49,-27,-19,-61,-36,11
CA,Canada,Manitoba,,,CA-MB,,2020-04-20,-42,-16,-27,-61,-46,19
CA,Canada,Manitoba,,,CA-MB,,2020-04-21,-42,-12,-11,-60,-47,20
CA,Canada,Manitoba,,,CA-MB,,2020-04-22,-38,-9,21,-57,-46,19
CA,Canada,Manitoba,,,CA-MB,,2020-04-23,-36,-3,39,-57,-45,18
CA,Canada,Manitoba,,,CA-MB,,2020-04-24,-39,-10,8,-56,-46,19
CA,Canada,Manitoba,,,CA-MB,,2020-04-25,-46,-18,-29,-53,-31,13
CA,Canada,Manitoba,,,CA-MB,,2020-04-26,-44,-22,14,-55,-34,9
CA,Canada,Manitoba,,,CA-MB,,2020-04-27,-34,-10,35,-56,-45,17
CA,Canada,Manitoba,,,CA-MB,,2020-04-28,-36,-5,-9,-55,-46,13
CA,Canada,Manitoba,,,CA-MB,,2020-04-29,-31,-2,43,-52,-45,17
CA,Canada,Manitoba,,,CA-MB,,2020-04-30,-30,1,49,-54,-44,17
CA,Canada,Manitoba,,,CA-MB,,2020-05-01,-37,-10,-22,-58,-45,20
CA,Canada,Manitoba,,,CA-MB,,2020-05-02,-42,-14,-23,-50,-29,12
CA,Canada,Manitoba,,,CA-MB,,2020-05-03,-39,-16,18,-53,-30,8
CA,Canada,Manitoba,,,CA-MB,,2020-05-04,-28,-9,23,-55,-42,16
CA,Canada,Manitoba,,,CA-MB,,2020-05-05,-27,0,52,-50,-42,16
CA,Canada,Manitoba,,,CA-MB,,2020-05-06,-26,-2,45,-51,-42,16
CA,Canada,Manitoba,,,CA-MB,,2020-05-07,-25,4,27,-55,-41,17
CA,Canada,Manitoba,,,CA-MB,,2020-05-08,-28,0,20,-53,-42,17
CA,Canada,Manitoba,,,CA-MB,,2020-05-09,-29,3,10,-45,-23,10
CA,Canada,Manitoba,,,CA-MB,,2020-05-10,-27,-4,22,-51,-24,6
CA,Canada,Manitoba,,,CA-MB,,2020-05-11,-27,-7,27,-53,-41,16
CA,Canada,Manitoba,,,CA-MB,,2020-05-12,-26,0,73,-49,-40,15
CA,Canada,Manitoba,,,CA-MB,,2020-05-13,-29,-4,-20,-57,-41,17
CA,Canada,Manitoba,,,CA-MB,,2020-05-14,-24,7,13,-54,-40,16
CA,Canada,Manitoba,,,CA-MB,,2020-05-15,-23,6,81,-50,-43,14
CA,Canada,Manitoba,,,CA-MB,,2020-05-16,-28,-2,110,-44,-24,6
CA,Canada,Manitoba,,,CA-MB,,2020-05-17,-22,0,191,-45,-26,3
CA,Canada,Manitoba,,,CA-MB,,2020-05-18,-37,-26,197,-65,-77,19
CA,Canada,Manitoba,,,CA-MB,,2020-05-19,-17,12,90,-47,-40,13
CA,Canada,Manitoba,,,CA-MB,,2020-05-20,-10,15,89,-45,-39,13
CA,Canada,Manitoba,,,CA-MB,,2020-05-21,-12,14,79,-47,-39,14
CA,Canada,Manitoba,,,CA-MB,,2020-05-22,-18,6,78,-47,-38,13
CA,Canada,Manitoba,,,CA-MB,,2020-05-23,-22,1,86,-38,-16,6
CA,Canada,Manitoba,,,CA-MB,,2020-05-24,-24,-6,69,-45,-22,5
CA,Canada,Manitoba,,,CA-MB,,2020-05-25,-12,4,94,-45,-38,12
CA,Canada,Manitoba,,,CA-MB,,2020-05-26,-17,4,78,-47,-37,13
CA,Canada,Manitoba,,,CA-MB,,2020-05-27,-10,10,108,-42,-36,12
CA,Canada,Manitoba,,,CA-MB,,2020-05-28,-15,12,29,-50,-36,14
CA,Canada,Manitoba,,,CA-MB,,2020-05-29,-18,6,72,-47,-37,13
CA,Canada,Manitoba,,,CA-MB,,2020-05-30,-20,2,125,-32,-10,4
CA,Canada,Manitoba,,,CA-MB,,2020-05-31,-18,0,160,-37,-12,1
CA,Canada,Manitoba,,,CA-MB,,2020-06-01,-7,8,101,-44,-34,10
CA,Canada,Manitoba,,,CA-MB,,2020-06-02,-10,11,114,-41,-33,11
CA,Canada,Manitoba,,,CA-MB,,2020-06-03,-8,9,110,-42,-32,11
CA,Canada,Manitoba,,,CA-MB,,2020-06-04,-5,17,110,-42,-31,11
CA,Canada,Manitoba,,,CA-MB,,2020-06-05,-11,6,99,-42,-33,10
CA,Canada,Manitoba,,,CA-MB,,2020-06-06,-20,-3,83,-42,-11,5
CA,Canada,Manitoba,,,CA-MB,,2020-06-07,-19,-4,69,-45,-14,3
CA,Canada,Manitoba,,,CA-MB,,2020-06-08,-8,4,82,-47,-32,11
CA,Canada,Manitoba,,,CA-MB,,2020-06-09,-11,5,48,-47,-32,12
CA,Canada,Manitoba,,,CA-MB,,2020-06-10,-4,9,84,-42,-31,11
CA,Canada,Manitoba,,,CA-MB,,2020-06-11,-3,15,107,-41,-30,10
CA,Canada,Manitoba,,,CA-MB,,2020-06-12,-7,9,139,-40,-32,8
CA,Canada,Manitoba,,,CA-MB,,2020-06-13,-13,3,168,-28,-6,2
CA,Canada,Manitoba,,,CA-MB,,2020-06-14,-11,0,175,-36,-10,0
CA,Canada,Manitoba,,,CA-MB,,2020-06-15,-2,9,119,-42,-32,9
CA,Canada,Manitoba,,,CA-MB,,2020-06-16,-5,11,130,-40,-31,10
CA,Canada,Manitoba,,,CA-MB,,2020-06-17,-5,8,78,-43,-32,11
CA,Canada,Manitoba,,,CA-MB,,2020-06-18,-2,15,80,-42,-30,10
CA,Canada,Manitoba,,,CA-MB,,2020-06-19,-3,12,130,-40,-32,6
CA,Canada,Manitoba,,,CA-MB,,2020-06-20,-13,4,84,-34,-5,4
CA,Canada,Manitoba,,,CA-MB,,2020-06-21,-6,3,114,-37,-6,-1
CA,Canada,Manitoba,,,CA-MB,,2020-06-22,-1,5,124,-40,-33,9
CA,Canada,Manitoba,,,CA-MB,,2020-06-23,-2,9,141,-39,-32,9
CA,Canada,Manitoba,,,CA-MB,,2020-06-24,1,13,177,-37,-31,8
CA,Canada,Manitoba,,,CA-MB,,2020-06-25,0,16,120,-39,-30,9
CA,Canada,Manitoba,,,CA-MB,,2020-06-26,-3,14,168,-37,-31,6
CA,Canada,Manitoba,,,CA-MB,,2020-06-27,-12,3,189,-30,-8,1
CA,Canada,Manitoba,,,CA-MB,,2020-06-28,-9,0,190,-38,-9,-1
CA,Canada,Manitoba,,,CA-MB,,2020-06-29,5,14,146,-39,-34,8
CA,Canada,Manitoba,,,CA-MB,,2020-06-30,12,36,164,-37,-33,7
CA,Canada,Manitoba,,,CA-MB,,2020-07-01,-38,-37,309,-58,-71,16
CA,Canada,Manitoba,,,CA-MB,,2020-07-02,7,33,185,-40,-38,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-03,-3,14,174,-43,-41,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-04,-14,0,128,-34,-7,3
CA,Canada,Manitoba,,,CA-MB,,2020-07-05,-10,-3,153,-34,-11,-1
CA,Canada,Manitoba,,,CA-MB,,2020-07-06,3,11,173,-37,-35,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-07,1,15,189,-35,-35,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-08,5,15,156,-35,-33,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-09,6,21,159,-37,-32,7
CA,Canada,Manitoba,,,CA-MB,,2020-07-10,-3,10,175,-35,-34,6
CA,Canada,Manitoba,,,CA-MB,,2020-07-11,-9,4,189,-26,-6,0
CA,Canada,Manitoba,,,CA-MB,,2020-07-12,-6,0,216,-30,-10,-3
CA,Canada,Manitoba,,,CA-MB,,2020-07-13,-3,2,82,-42,-36,10
CA,Canada,Manitoba,,,CA-MB,,2020-07-14,1,13,173,-37,-34,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-15,3,11,158,-38,-33,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-16,5,21,185,-38,-32,7
CA,Canada,Manitoba,,,CA-MB,,2020-07-17,-7,5,123,-41,-35,7
CA,Canada,Manitoba,,,CA-MB,,2020-07-18,-10,4,136,-30,-7,1
CA,Canada,Manitoba,,,CA-MB,,2020-07-19,-2,3,199,-29,-10,-2
CA,Canada,Manitoba,,,CA-MB,,2020-07-20,3,10,160,-38,-35,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-21,1,13,170,-38,-34,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-22,2,10,186,-38,-33,7
CA,Canada,Manitoba,,,CA-MB,,2020-07-23,1,15,156,-40,-32,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-24,-7,8,144,-42,-34,7
CA,Canada,Manitoba,,,CA-MB,,2020-07-25,-13,1,167,-30,-7,1
CA,Canada,Manitoba,,,CA-MB,,2020-07-26,-6,1,219,-31,-9,-3
CA,Canada,Manitoba,,,CA-MB,,2020-07-27,1,9,169,-39,-36,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-28,-2,11,192,-39,-35,8
CA,Canada,Manitoba,,,CA-MB,,2020-07-29,4,15,179,-39,-35,7
CA,Canada,Manitoba,,,CA-MB,,2020-07-30,6,22,189,-40,-35,7
CA,Canada,Manitoba,,,CA-MB,,2020-07-31,-2,15,156,-40,-37,6
CA,Canada,Manitoba,,,CA-MB,,2020-08-01,-12,1,202,-32,-11,-1
CA,Canada,Manitoba,,,CA-MB,,2020-08-02,-7,0,292,-38,-14,-3
CA,Canada,Manitoba,,,CA-MB,,2020-08-03,-20,-20,,-59,-73,12
CA,Canada,Manitoba,,,CA-MB,,2020-08-04,0,17,179,-41,-37,8
CA,Canada,Manitoba,,,CA-MB,,2020-08-05,4,16,172,-41,-35,7
CA,Canada,Manitoba,,,CA-MB,,2020-08-06,4,21,190,-41,-34,7
CA,Canada,Manitoba,,,CA-MB,,2020-08-07,-7,6,151,-43,-36,6
CA,Canada,Manitoba,,,CA-MB,,2020-08-08,-12,0,193,-33,-7,0
CA,Canada,Manitoba,,,CA-MB,,2020-08-09,-10,-3,141,-35,-13,-1
CA,Canada,Manitoba,,,CA-MB,,2020-08-10,-1,7,157,-40,-35,7
CA,Canada,Manitoba,,,CA-MB,,2020-08-11,-4,10,195,-43,-34,8
CA,Canada,Manitoba,,,CA-MB,,2020-08-12,-3,8,174,-43,-34,7
CA,Canada,Manitoba,,,CA-MB,,2020-08-13,-5,10,102,-47,-34,9
CA,Canada,New Brunswick,,,CA-NB,,2020-02-15,-3,-7,-13,11,-3,1
CA,Canada,New Brunswick,,,CA-NB,,2020-02-16,29,22,121,15,5,-4
CA,Canada,New Brunswick,,,CA-NB,,2020-02-17,-35,-50,83,-24,-64,14
CA,Canada,New Brunswick,,,CA-NB,,2020-02-18,2,12,-12,-1,1,0
CA,Canada,New Brunswick,,,CA-NB,,2020-02-19,-4,-5,-8,6,-1,1
CA,Canada,New Brunswick,,,CA-NB,,2020-02-20,4,1,-12,2,0,1
CA,Canada,New Brunswick,,,CA-NB,,2020-02-21,1,-4,-17,2,0,1
CA,Canada,New Brunswick,,,CA-NB,,2020-02-22,3,0,14,12,0,0
CA,Canada,New Brunswick,,,CA-NB,,2020-02-23,28,13,139,22,9,-4
CA,Canada,New Brunswick,,,CA-NB,,2020-02-24,3,-2,9,3,2,0
CA,Canada,New Brunswick,,,CA-NB,,2020-02-25,3,2,4,7,2,0
CA,Canada,New Brunswick,,,CA-NB,,2020-02-26,8,10,11,12,1,-1
CA,Canada,New Brunswick,,,CA-NB,,2020-02-27,-24,-10,-38,-20,-16,11
CA,Canada,New Brunswick,,,CA-NB,,2020-02-28,-3,-5,-17,8,-5,3
CA,Canada,New Brunswick,,,CA-NB,,2020-02-29,0,-1,6,22,1,-1
CA,Canada,New Brunswick,,,CA-NB,,2020-03-01,14,9,55,17,6,-2
CA,Canada,New Brunswick,,,CA-NB,,2020-03-02,6,-2,15,1,-17,2
CA,Canada,New Brunswick,,,CA-NB,,2020-03-03,7,-1,12,0,-16,2
CA,Canada,New Brunswick,,,CA-NB,,2020-03-04,1,-6,-20,-2,-18,4
CA,Canada,New Brunswick,,,CA-NB,,2020-03-05,8,0,4,-1,-17,3
CA,Canada,New Brunswick,,,CA-NB,,2020-03-06,3,-4,6,1,-17,3
CA,Canada,New Brunswick,,,CA-NB,,2020-03-07,0,-7,-19,8,-2,0
CA,Canada,New Brunswick,,,CA-NB,,2020-03-08,25,14,92,17,6,-3
CA,Canada,New Brunswick,,,CA-NB,,2020-03-09,2,0,-8,0,1,1
CA,Canada,New Brunswick,,,CA-NB,,2020-03-10,-12,-9,-14,-9,-10,6
CA,Canada,New Brunswick,,,CA-NB,,2020-03-11,4,3,-2,0,0,1
CA,Canada,New Brunswick,,,CA-NB,,2020-03-12,11,20,16,1,0,0
CA,Canada,New Brunswick,,,CA-NB,,2020-03-13,-8,28,-31,-12,-5,6
CA,Canada,New Brunswick,,,CA-NB,,2020-03-14,-14,12,-21,-5,-3,4
CA,Canada,New Brunswick,,,CA-NB,,2020-03-15,2,18,92,0,1,1
CA,Canada,New Brunswick,,,CA-NB,,2020-03-16,-6,17,-2,-18,-21,8
CA,Canada,New Brunswick,,,CA-NB,,2020-03-17,-27,6,-14,-26,-34,12
